가 Ga
간 Gan
갈 Gal
감 Gam
강 Gang
강전 Gangjeon
개 Gae
견 Gyeon
경 Gyeong
계 Gye
고 Go
곡 Gok
공 Gong
곽 Gwak
교 Gyo
구 Gu
국 Guk
군 Gun
궁 Gung
궉 Gwok
권 Gwon
근 Geun
금 Geum
기 Gi
길 Gil
김 Gim
나 Na
난 Nan
남 Nam
남궁 Namgung
낭 Nang
내 Nae
노 No
뇌 Noe
누 Nu
단 Dan
담 Dam
당 Dang
대 Dae
도 Do
독고 Dokgo
돈 Don
동 Dong
동방 Dongbang
두 Du
라 Ra
란 Ran
랑 Rang
량 Ryang
려 Ryeo
렴 Ryeom
로 Ro
뢰 Roe
루 Ru
류 Ryu
륙 Ryuk
림 Rim
마 Ma
만 Man
망절 Mangjeol
매 Mae
맹 Maeng
명 Myeong
모 Mo
목 Mok
묘 Myo
묵 Muk
문 Mun
미 Mi
민 Min
박 Bak
반 Ban
방 Bang
배 Bae
백 Baek
범 Beom
변 Byeon
복 Bok
봉 Bong
부 Bu
비 Bi
빈 Bin
빙 Bing
사 Sa
사공 Sagong
삼 Sam
상 Sang
서 Seo
서문 Seomun
석 Seok
선 Seon
선우 Seonu
설 Seol
섭 Seop
성 Seong
소 So
소봉 Sobong
손 Son
송 Song
수 Su
순 Sun
승 Seung
시 Si
신 Sin
심 Sim
십 Sip
아 A
안 An
애 Ae
야 Ya
양 Yang
어 Eo
어금 Eogeum
엄 Eom
여 Yeo
연 Yeon
염 Yeom
엽 Yeop
영 Yeong
예 Ye
오 O
옥 Ok
온 On
옹 Ong
왕 Wang
요 Yo
용 Yong
우 U
운 Un
원 Won
위 Wi
유 Yu
육 Yuk
윤 Yun
은 Eun
음 Eum
이 I
익 Ik
인 In
임 Im
자 Ja
장 Jang
장곡 Janggok
저 Jeo
전 Jeon
점 Jeom
정 Jeong
제 Je
제갈 Jegal
조 Jo
종 Jong
좌 Jwa
주 Ju
준 Jun
즙 Jeup
증 Jeung
지 Ji
진 Jin
차 Cha
창 Chang
채 Chae
천 Cheon
청 Cheong
초 Cho
최 Choe
추 Chu
춘 Chun
탁 Tak
탄 Tan
태 Tae
판 Pan
팽 Paeng
편 Pyeon
평 Pyeong
포 Po
표 Pyo
풍 Pung
피 Pi
필 Pil
하 Ha
학 Hak
한 Han
함 Ham
해 Hae
허 Heo
현 Hyeon
형 Hyeong
호 Ho
홍 Hong
화 Hwa
환 Hwan
황 Hwang
황보 Hwangbo
후 Hu
흥 Heung
타 Ta
빌 Bil
파 Pa
디 Di
움 Um
세 Se
월 Wol
펠 Pel
리 Ri
체 Che
발 Bal
실 Sil
행 Haeng
번 Beon
을 Eul
통 Tong
맛 Mat
멋 Meot
드 Deu
날 Nal
집 Jip
앙 Ang
다 Da
메 Me
트 Teu
워 Wo
엘 El
텍 Tek
품 Pum
재 Jae
팀 Team
산 San
무 Mu
딩 Ding
중 Jung
락 Rak
골 Gol
클 Keul
래 Rae
스 Seu
울 Ul
회 Hoe
켈 Kel
쉐 Swe
르 Reu
데 De
크 Keu
티 Ti
플 Peul
러 Reo
광 Gwang
치 Chi
별 Byeol
람 Ram
논 Non
블 Beul
랜 raen
농 Nong
협 Hyeop
본 Bon
폴 Pol
더 Deo
샵 Syap
잠 Jam
푸 Pu
역 Yeok
륜 Ryun
센 Sen
럴 Reol
츠 Cheu
퍼 Peo
북 Buk
완 Wan
일 Il
검 Geom
솔 Sol
프 Peu
알 Al
룡 Ryong 
엔 En
젤 Jel
늘 Neul
뻐 Ppeo
글 Geul
벌 Beol
캠 Kaem
퍼 Peo
으 Eu
뜸 Tteum
외 Oe
과 Gwa
에 E
베 Be
헤 Hae
네 Ne
일 il
컴 Com
코 Co
토 To
케 Ke
팅 Ting
업 Eop
솔 Sol
북 Buk
프 Peu
레 Re
던 Deon
윈 Win
밸 Bael
엑 Ek
쉬 Swi
물 Mul
테 Te
얄 Yal
룸 Rum
맨 Men
션 Syeon
탑 Tap
물 Mul
덕 Deok
면 Myeon
브 Beu
색 Saek
생 Saeng
활 Hwal
관 Gwan
큐 Kyu
례 Rye
휴 Hyu
먼 meon
너 Neo
충 Chung
직 Jik
읍 Eup
식 Sik
앤 Aen
뷰 Byu
척 Cheok
새 Sae
윈 Win
암 Am
그 Geu
린 Rin
텔 Tel
톤 Ton
올 Ol
픽 Pik
촌 Chon
보 Bo
뉴 New
젠 Jen
힐 Hil
테 Te
항 Hang
롱 Long
브 Beu
킴 Kim
물 Mul
분 Bun
충 Chung
생 Saeng
규 Gyu
투 Tu
웨 We
니 Ni
벽 Byeok
밍 Ming
른 Reun
휴 Hyu
튼 Teun
굿 Gut
닝 Ning
맑 Mak
샘 Saem
밥 Bap
의 Ui
뒷 Dwit
롬 Rom
엠 Em
술 Sul
극 Geuk
달 Dal
거 Geo
불 Bul
팰 Pael
혜 hye
희 Hui
홈 Hom
의 Ui
읜 Uin
등 Deung
법 Beop
펜 Pen
훼 Hwe
건 Geon
숭 Sung
와 Wa
녹 Nok
망 Mang
떼 Tte
즈 Jeu
샤 Sya
바 Ba
둑 Duk
캐 Kae
슬 Seul
효 Hyo
따 Tta
횡 Hoeng
닐 Nil
밀 Mil
폰 Pon
할 Hal
샾 Syap
벨 Bel
곶 Got
꿈 Kkum
든 Deun
언 Eon
터 Teo
킹 King
런 Reon
웰 Wel
뜨 Tteu
악 Ak
떡 Tteok
볶 Bok
응 Eung
릴 Ril
멀 Meol
짐 Jim
곤 Gon
측 Cheuk
둔 Dun
톱 Top
듀 Dyu
슨 Seun
록 Rok
롯 Rot
철 Cheol
돼 Dwae
낙 Nak
작 Jak
퐁 Pong
특 Teuk
빛 Bit
름 Reum
병 Byeong
쇼 Syo
핑 Ping
윤 Yoon
은 Eun
합 Hap
밭 Bat
바 Ba
비 Bi
네 Ne
일 Il
버 Beo
숙 Suk
둔 Dun
병 Byeong
료 Ryo
열 Yeol
웍 Wok
덴 Den
득 Deuk
택 Taek
절 Jeol
출 Chul
년 Nyeon
론 Ron
처 Cheo
웅 Ung
칼 Kal
축 Chuk
맥 Maek
숯 Sut
느 Neu
패 Pae
폰 Pon
탑 Tap
좋 Jo
들 Deul
쌍 Ssang
숲 Sup
쇠 Soe
텀 Teom
튜 Tyu
참 Cham
릉 Reung
훠 Hwo
쿠 Ku
카 Ka
렉 Rek
쉴 Swil
컨 Keon
령 Ryeong
켓 Ket
족 Jok
섬 Seom
닉 Nik
컨 Keon
령 Ryeong
냉 Naeng
립 Rip 
질 Jil
뚝 Ttuk
쇄 Swae
능 Neung
델 Del
찰 Chal
벤 Ben
쳐 Chyeo
률 Ryul
향 Hyang
윗 Wit
율 Yul
잔 Jan
족 Jok
령 Ryeong
템 Tem
럭 Reok
렌 Ren
존 Jon
햇 Haet
살 Sal
텐 Ten
괴 Goe
쉘 Swel
속 Sok
쁘 Ppeu
띠 Tti
컵 Keop
까 Kka
꼬 kko
뽀 ppo
씨 Ssi
씽 Ssing
앞 Ap
팩 Paek
혁 Hyeok
까 Kka
머 Meo
믕 Meung
컵 Keop
립 Rip
약 Yak
게 Ge
팡 Pang
능 Neung
쿨 Kull
홀 Hol
렌 Ren
커 Keo
훈 Hun
렌 Ren
찬 Chan
립 Rip
솜 Som
약 Yak
갤 Gael
럭 Reok
쪽 Jjok
널 Neol
죽 Juk
덤 Deom
맞 Mat
풀 Pul
큰 Keun
끌 Kkeul
입 Ip
및 Mit
독 Dok
획 Hoek
옆 Yeop
째 Jjae
력 Ryeok
쁨 Ppeum
링 Ring
칠 Chil
턴 Teon
샹 Syang
곰 Gom
는 Neun
놀 Nol
븐 Beun
털 Teol
뎀 Dem
꽃 Kkot
짬 Jjam
뽕 Ppong
첨 Cheom
몬 Mon
콤 Kom
팔 Pal
압 Ap
적 Jeok
징 Jing
페 Pe
돌 Dol
넝 Neong
녕 Nyeong
턴 Teon
뮤 Myu
뎅 Deng
샛 Saet
있 It
넬 Nel
키 Ki
봄 Bom
옷 Ot
낸 Naen
꿀 Kkul
님 nim
킨 Kin
각 Gak
걷 Geot
릇 Reut
헬 Hel
쭈 Jju
꾸 kku
룩 Ruk
슈 Syu
젼 Jyeon
갑 Gap
숍 Syop
랙 Raek
접 Jeop
말 Mal
퓨 Pyu
것 Geot
말 Mal
힘 Him
멜 Mel
봇 Bot
쎈 Ssen
친 Chin
륭 Ryung
짜 Jja
콜 Kol
또 Tto
삐 Ppi
탕 Tang
총 Chong
넷 Net
팜 Pam
썸 Sseom
습 Seup
헌 Heon
몰 Mol
셜 Syeol
쌈 Ssam
픈 Peun
맛 At
램 Raem
놈 Nom
퇴 Toe
끼 kki
첼 Chel
틱 Tik
쥬 Jyu
엘 Ael
넥 Nek
릿 Rit
탈 Tal
윌 Wil
흘 Heul
닷 Dat
얼 Eol
랩 Raep
낚 nak
막 Mak
혀 Hyeo
띵 Tting
귀 Gwi
듬 Deum
눔 Num
뜰 Tteul
잭 Jaek
균 Gyun
퀸 Kwin
촬 Chwal
괄 Gwal
닛 Nit
팬 Paen
욱 Uk
책 Chaek
겨 Gyeo
칸 Kan
셔 Syeo
텨 Tyeo
릭 Rik
납 Nap
급 Geup
흑 Heuk
삭 Sak
혹 Hok
럽 Reop
찌 Jji
렛 let
몽 mong
